"","logFC","logCPM","PValue","FDR"
"YER079W",-1.41374329887206,6.41174679997166,5.30286813708733e-40,1.1493432515438e-38
"YOR222W",-0.905046677921424,7.66341867777441,6.60477424597576e-40,1.42629376691382e-38
"YER004W",-0.788771124237998,7.90522918214587,6.74680360298011e-40,1.45166679704848e-38
"YLR417W",-1.40808127029239,6.53503323689676,7.00787339180874e-40,1.50237633548305e-38
"YOR298C-A",0.595880436233922,8.42953023665955,7.40826886056938e-40,1.58248111364581e-38
"YOL143C",0.759381661996483,8.27213771598895,8.21619149632033e-40,1.74874838430674e-38
"YML100W",0.520462906297169,9.63005106582914,9.5984682439107e-40,2.03563213617275e-38
"YAR010C",-4.03723348980261,5.98577419277524,1.01036090971673e-39,2.12751085508679e-38
"YPR137C-A",-4.03723348980261,5.98577419277524,1.01036090971673e-39,2.12751085508679e-38
"YDR134C",0.451917536813445,9.35327293408836,1.10179072843482e-39,2.31180700005279e-38
"YER159C-A",-4.21270200541655,5.81395616264902,1.30493948874162e-39,2.7187770967902e-38
"YMR051C",-4.21270200541655,5.81395616264902,1.30493948874162e-39,2.7187770967902e-38
"YNL284C-A",-3.89546998683059,4.79295217181828,1.31079515167656e-39,2.7213947061299e-38
"YLR250W",-0.991622141810626,7.31347545550821,1.33233515638383e-39,2.75644304906403e-38
"YNL219C",-1.12421781731336,6.94156604363453,1.54117386952133e-39,3.17739574423615e-38
"YHR142W",-1.04394879489524,7.20720740916695,3.57674476205696e-39,7.34847179065661e-38
"YER042W",-1.56003191763687,6.14769117267744,3.61497115188793e-39,7.40130944834633e-38
"YDR096W",-0.779349430796772,7.85301078950322,4.97976212376986e-39,1.01604318918435e-37
"YOR382W",0.452621037648932,9.37699505193501,5.88726329893297e-39,1.19707687078304e-37
"YMR191W",-1.53388340641685,6.45522315668714,1.57447438818809e-38,3.19046745031129e-37
"YJR139C",-0.57746142276004,8.85144808059799,2.81541820289995e-38,5.68560734012252e-37
"YLR093C",-0.991938081362506,7.35627470656275,3.0076583683695e-38,6.05316821960624e-37
"YGL036W",-0.911263818694235,7.42519235703583,4.38235770970762e-38,8.78996968418305e-37
"YHL048W",-1.61822739038432,6.05170481457858,1.1694148918905e-37,2.33764456598516e-36
"YKL029C",0.886649225325052,7.44918627454912,1.301682048563e-37,2.59328373109336e-36
"YMR142C",-0.320056323653312,10.266018972056,1.35174173149633e-37,2.68397846485362e-36
"YMR031C",-0.604070367784656,8.53974231787813,2.64803785705056e-37,5.24028093651109e-36
"YDL072C",-0.654413539267832,8.27474116767234,3.1301006615006e-37,6.17360187136636e-36
"YDL124W",0.645081104263088,8.20507950464882,3.35540648735202e-37,6.59599341716343e-36
"YDR481C",0.703067744449372,7.90533559824285,5.31174779118098e-37,1.04071561855688e-35
"YPR028W",-0.628285781109291,8.36492388802024,5.45699208547065e-37,1.06564429603069e-35
"YOL030W",-0.594648298944025,8.50788119469299,5.97796916976845e-37,1.16354090715526e-35
"YER063W",-1.11369199196563,7.16000191512552,6.33151478997466e-37,1.22714265843479e-35
"YBR199W",-0.646364277168219,8.25871647577894,6.34621689168573e-37,1.22714265843479e-35
"YGR038C-A",-7.02023806763513,4.75118181552174,8.11856029097666e-37,1.56474010559312e-35
"YKL096W-A",0.416594214671884,10.1598227469143,1.14468621703933e-36,2.19906115137068e-35
"YDR366C",-0.967758811103422,7.58860529478425,1.20504983814795e-36,2.30753394573509e-35
"YDR098C-A",-4.3344254670758,5.53858968643808,1.41801150366802e-36,2.70657227974311e-35
